Lambda,DC,w,N,w_c,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.2820358327455854e-07,0.31489294575832827,5.733528520416085e-07,35,4.586822816332869e-07,0.4642864600665616,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.297365482878123e-07,0.13925413397266206,5.786481475085803e-07,165,3.061212882685709e-07,0.1699262236837662,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.694283439127515e-07,0.894675046418088,5.240455218905065e-07,269,2.109686326838592e-07,0.22961750626485286,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2820358327455854e-07,0.31489294575832827,5.733528520416085e-07,35,4.586822816332869e-07,0.464286460066561,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2820358327455854e-07,0.31489294575832827,5.733528520416085e-07,35,4.586822816332869e-07,0.46428646006656504,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2820358327455854e-07,0.31489294575832827,5.733528520416085e-07,35,4.586822816332869e-07,0.464286460066571,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2820358327455854e-07,0.31489294575832827,5.733528520416085e-07,35,4.586822816332869e-07,0.46428646006657054,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2820358327455854e-07,0.31489294575832827,5.733528520416085e-07,35,4.586822816332869e-07,0.46428646006656404,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2820358327455854e-07,0.31489294575832827,5.733528520416085e-07,35,4.586822816332869e-07,0.4642864600665646,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
